Comuna,Poblacion 2021,Poblacion 2022,region_id
ALGARROBO,15436,15668,5
ALHUÉ,7536,7649,13
ALTO BIOBÍO,6789,6793,8
ALTO DEL CARMEN,5754,5767,3
ALTO HOSPICIO,134085,137263,1
ANCUD,42494,42507,10
ANDACOLLO,11818,11828,4
ANGOL,56289,56476,9
ANTOFAGASTA,433712,437883,2
ANTUCO,4312,4317,8
ANTÁRTICA,141,144,12
ARAUCO,38769,38834,8
ARICA,250795,253125,15
AYSÉN,25085,25138,11
BUIN,111934,114028,13
BULNES,22665,22703,16
CABILDO,20715,20735,5
CABO DE HORNOS,1983,1978,12
CABRERO,30842,30937,8
CALAMA,193343,194575,2
CALBUCO,36997,37221,10
CALDERA,19612,19746,3
CALERA,53736,53809,5
CALERA DE TANGO,29019,29470,13
CALLE LARGA,16804,17097,5
CAMARONES,1239,1242,15
CAMIÑA,1384,1383,1
CANELA,9548,9537,4
CARAHUE,25505,25511,9
CARTAGENA,25815,26238,5
CASABLANCA,29556,29891,5
CASTRO,47934,48219,10
CATEMU,15360,15482,5
CAUQUENES,44253,44327,7
CAÑETE,37139,37249,8
CERRILLOS,89520,89858,13
CERRO NAVIA,142304,141507,13
CHAITÉN,5033,5050,10
CHANCO,9319,9299,7
CHAÑARAL,13149,13109,3
CHIGUAYANTE,91435,91632,8
CHILE CHICO,5138,5148,11
CHILLÁN,200148,201523,16
CHILLÁN VIEJO,34311,34755,16
CHIMBARONGO,37935,38117,6
CHOLCHOL,12427,12504,9
CHONCHI,16092,16155,10
CHÉPICA,16003,16060,6
CISNES,5845,5857,11
COBQUECURA,5265,5252,16
COCHAMÓ,3991,3976,10
COCHRANE,3704,3718,11
CODEGUA,14247,14379,6
COELEMU,16871,16884,16
COIHUECO,28569,28742,16
COINCO,7891,7939,6
COLBÚN,22813,23042,7
COLCHANE,1588,1579,1
COLINA,185599,189757,13
COLLIPULLI,26271,26374,9
COLTAUCO,21507,21725,6
COMBARBALÁ,13893,13883,4
CONCEPCIÓN,238661,239077,8
CONCHALÍ,139394,138638,13
CONCÓN,46527,47097,5
CONSTITUCIÓN,50479,50547,7
CONTULMO,6340,6346,8
COPIAPÓ,173253,174309,3
COQUIMBO,261811,266502,4
CORONEL,126729,127519,8
CORRAL,5445,5439,14
COYHAIQUE,61496,61705,11
CUNCO,18065,18067,9
CURACAUTÍN,18196,18207,9
CURACAVÍ,36991,37479,13
CURACO DE VÉLEZ,4086,4104,10
CURANILAHUE,33921,33931,8
CURARREHUE,7826,7845,9
CUREPTO,9353,9285,7
CURICÓ,165757,167746,7
DALCAHUE,15178,15275,10
DIEGO DE ALMAGRO,14258,14137,3
DOÑIHUE,22964,23199,6
EL BOSQUE,171789,171201,13
EL CARMEN,12307,12272,16
EL MONTE,40620,41179,13
EL QUISCO,18056,18334,5
EL TABO,14587,14804,5
EMPEDRADO,4196,4194,7
ERCILLA,8446,8423,9
ESTACIÓN CENTRAL,214470,217664,13
FLORIDA,11855,11863,8
FREIRE,25472,25483,9
FREIRINA,7739,7779,3
FRESIA,12638,12616,10
FRUTILLAR,20387,20535,10
FUTALEUFÚ,2835,2862,10
FUTRONO,15251,15233,14
GALVARINO,12623,12606,9
GENERAL LAGOS,810,807,15
GORBEA,15137,15118,9
GRANEROS,36972,37390,6
GUAITECAS,1604,1607,11
HIJUELAS,19218,19309,5
HUALAIHUÉ,9546,9562,10
HUALAÑÉ,10232,10232,7
HUALPÉN,97536,97732,8
HUALQUI,26366,26506,8
HUARA,3043,3063,1
HUASCO,11374,11455,3
HUECHURABA,114453,115858,13
ILLAPEL,32899,32949,4
INDEPENDENCIA,147655,150074,13
IQUIQUE,227127,229072,1
ISLA DE MAIPO,40803,41354,13
ISLA DE PASCUA,8445,8601,5
JUAN FERNÁNDEZ,1053,1074,5
LA CISTERNA,101126,101313,13
LA CRUZ,26008,26652,5
LA ESTRELLA,3113,3109,6
LA FLORIDA,405185,406229,13
LA GRANJA,122028,121170,13
LA HIGUERA,4478,4499,4
LA LIGUA,37957,38117,5
LA PINTANA,189454,189321,13
LA REINA,100459,100131,13
LA SERENA,254445,258850,4
LA UNIÓN,39593,39632,14
LAGO RANCO,10293,10288,14
LAGO VERDE,919,917,11
LAGUNA BLANCA,259,257,12
LAJA,23896,23909,8
LAMPA,131436,135461,13
LANCO,17762,17861,14
LAS CABRAS,27034,27283,6
LAS CONDES,335296,338541,13
LAUTARO,41065,41352,9
LEBU,27128,27139,8
LICANTÉN,6993,6993,7
LIMACHE,50439,50872,5
LINARES,101895,102620,7
LITUECHE,6820,6865,6
LLAILLAY,26760,26946,5
LLANQUIHUE,18694,18755,10
LO BARNECHEA,126816,128439,13
LO ESPEJO,103381,102530,13
LO PRADO,104405,103732,13
LOLOL,7346,7380,6
LONCOCHE,24766,24778,9
LONGAVÍ,33051,33264,7
LONQUIMAY,11071,11088,9
LOS ANDES,68401,68602,5
LOS ANGELES,220030,221361,8
LOS LAGOS,20527,20527,14
LOS MUERMOS,17828,17831,10
LOS SAUCES,7510,7498,9
LOS VILOS,23668,23924,4
LOS ÁLAMOS,22647,22755,8
LOTA,45672,45580,8
LUMACO,10015,9976,9
MACHALÍ,61254,62480,6
MACUL,136278,137079,13
MAIPÚ,584053,585684,13
MALLOA,14213,14245,6
MARCHIHUE,7656,7679,6
MARIQUINA,23458,23648,14
MARÍA ELENA,6773,6684,2
MARÍA PINTO,15132,15323,13
MAULE,62394,64676,7
MAULLÍN,14859,14816,10
MEJILLONES,15168,15430,2
MELIPEUCO,6283,6297,9
MELIPILLA,143779,145583,13
MOLINA,50413,50983,7
MONTE PATRIA,32607,32638,4
MOSTAZAL,27765,28035,6
MULCHÉN,31078,31098,8
MÁFIL,7390,7386,14
NACIMIENTO,27981,28002,8
NANCAGUA,19309,19456,6
NATALES,24044,24255,12
NAVIDAD,6968,7027,6
NEGRETE,10474,10514,8
NINHUE,5402,5385,16
NOGALES,23559,23594,5
NUEVA IMPERIAL,33898,33993,9
O'HIGGINS,665,670,11
OLIVAR,14736,14831,6
OLLAGÜE,283,279,2
OLMUÉ,19535,19777,5
OSORNO,174269,174998,10
OVALLE,122241,123013,4
PADRE HURTADO,76219,78091,13
PADRE LAS CASAS,83009,83834,9
PAIGUANO,4690,4698,4
PAILLACO,20848,20884,14
PAINE,84379,85759,13
PALENA,1826,1822,10
PALMILLA,13386,13458,6
PANGUIPULLI,36072,36130,14
PANQUEHUE,7694,7745,5
PAPUDO,6270,6331,5
PAREDONES,6335,6309,6
PARRAL,44844,45103,7
PEDRO AGUIRRE CERDA,107409,106496,13
PELARCO,9171,9253,7
PELLUHUE,8187,8276,7
PEMUCO,8631,8616,16
PENCAHUE,8614,8622,7
PENCO,49975,50055,8
PERALILLO,11946,12027,6
PERQUENCO,7241,7253,9
PETORCA,10590,10607,5
PEUMO,14987,15005,6
PEÑAFLOR,102667,104106,13
PEÑALOLÉN,269296,270707,13
PICA,6085,6165,1
PICHIDEGUA,20855,20937,6
PICHILEMU,18136,18367,6
PINTO,11965,12039,16
PIRQUE,31134,31787,13
PITRUFQUEN,26245,26375,9
PLACILLA,9199,9228,6
PORTEZUELO,4925,4908,16
PORVENIR,7421,7500,12
POZO ALMONTE,17853,18172,1
PRIMAVERA,689,684,12
PROVIDENCIA,160043,161568,13
PUCHUNCAVÍ,20391,20674,5
PUCÓN,30052,30290,9
PUDAHUEL,256607,258535,13
PUENTE ALTO,655033,660361,13
PUERTO MONTT,272555,275473,10
PUERTO OCTAY,9159,9123,10
PUERTO VARAS,49332,50010,10
PUMANQUE,3532,3529,6
PUNITAQUI,12271,12358,4
PUNTA ARENAS,143205,144116,12
PUQUELDÓN,4199,4195,10
PURRANQUE,21060,21028,10
PURÉN,12167,12146,9
PUTAENDO,17768,17862,5
PUTRE,2536,2548,15
PUYEHUE,11800,11809,10
QUEILÉN,5547,5545,10
QUELLÓN,29538,29745,10
QUEMCHI,8779,8770,10
QUILACO,4186,4188,8
QUILICURA,261993,266818,13
QUILLECO,10023,10010,8
QUILLOTA,98561,99401,5
QUILLÓN,18924,19058,16
QUILPUÉ,168931,170531,5
QUINCHAO,8272,8241,10
QUINTA DE TILCOCO,13995,14097,6
QUINTA NORMAL,138904,140055,13
QUINTERO,36821,37441,5
QUIRIHUE,12214,12226,16
RANCAGUA,267829,270112,6
RAUCO,11384,11510,7
RECOLETA,193605,195185,13
RENAICO,10884,10929,9
RENCA,161959,162517,13
RENGO,64313,64831,6
REQUÍNOA,30749,31087,6
RETIRO,21194,21299,7
RINCONADA,11471,11663,5
ROMERAL,16370,16557,7
RÁNQUIL,6275,6284,16
RÍO BUENO,32953,32968,14
RÍO CLARO,14859,14952,7
RÍO HURTADO,4361,4343,4
RÍO IBÁÑEZ,2705,2708,11
RÍO NEGRO,14229,14183,10
RÍO VERDE,212,209,12
SAAVEDRA,12764,12727,9
SAGRADA FAMILIA,19556,19627,7
SALAMANCA,29359,29560,4
SAN ANTONIO,97323,97758,5
SAN BERNARDO,339043,342411,13
SAN CARLOS,56499,56702,16
SAN CLEMENTE,46751,47177,7
SAN ESTEBAN,20952,21226,5
SAN FABIÁN,4693,4728,16
SAN FELIPE,84445,85270,5
SAN FERNANDO,79353,79964,6
SAN GREGORIO,674,666,12
SAN IGNACIO,16630,16624,16
SAN JAVIER,49994,50496,7
SAN JOAQUÍN,103871,103704,13
SAN JOSÉ DE MAIPO,18917,19131,13
SAN JUAN DE LA COSTA,7590,7536,10
SAN MIGUEL,136835,139729,13
SAN NICOLÁS,12261,12339,16
SAN PABLO,10556,10548,10
SAN PEDRO,12132,12274,13
SAN PEDRO DE ATACAMA,10675,10818,2
SAN PEDRO DE LA PAZ,148070,150023,8
SAN RAFAEL,10078,10189,7
SAN RAMÓN,86017,85274,13
SAN ROSENDO,3595,3581,8
SAN VICENTE,51100,51518,6
SANTA BÁRBARA,14625,14644,8
SANTA CRUZ,41511,41884,6
SANTA JUANA,14819,14846,8
SANTA MARÍA,16539,16686,5
SANTIAGO,517280,527014,13
SANTO DOMINGO,12126,12295,5
SIERRA GORDA,1772,1784,2
TALAGANTE,82900,83814,13
TALCA,238343,239735,7
TALCAHUANO,158347,158285,8
TALTAL,13806,13883,2
TEMUCO,304871,306579,9
TENO,31132,31390,7
TEODORO SCHMIDT,15784,15774,9
TIERRA AMARILLA,14374,14401,3
TILTIL,21783,22033,13
TIMAUKEL,281,279,12
TIRÚA,11046,11069,8
TOCOPILLA,28214,28301,2
TOLTÉN,10027,9993,9
TOMÉ,58873,58978,8
TORRES DEL PAINE,1040,1055,12
TORTEL,576,579,11
TRAIGUÉN,19315,19302,9
TREGUACO,5718,5736,16
TUCAPEL,15273,15322,8
VALDIVIA,178226,179563,14
VALLENAR,57224,57301,3
VALPARAÍSO,317424,318638,5
VICHUQUÉN,4365,4347,7
VICTORIA,35512,35531,9
VICUÑA,29990,30187,4
VILCÚN,31258,31745,9
VILLA ALEGRE,17656,17787,7
VILLA ALEMANA,141528,143536,5
VILLARRICA,59554,59955,9
VITACURA,97695,97651,13
VIÑA DEL MAR,364472,366981,5
YERBAS BUENAS,19366,19515,7
YUMBEL,22158,22174,8
YUNGAY,18670,18730,16
ZAPALLAR,8100,8194,5
ÑIQUÉN,11565,11554,16
ÑUÑOA,255823,259712,13
