region_id,Comuna,riqueza_2022
5.0,ALGARROBO,9810800
13.0,ALHUE,1903900
8.0,ALTO BIO BIO,184000
3.0,ALTO DEL CARMEN,159600
1.0,ALTO HOSPICIO,24738900
10.0,ANCUD,8795000
4.0,ANDACOLLO,3630500
9.0,ANGOL,11632800
12.0,ANTARTIDA,1500
2.0,ANTOFAGASTA,167740800
8.0,ANTUCO,154700
8.0,ARAUCO,7744300
15.0,ARICA,38194400
11.0,AYSEN,4284900
13.0,BUIN,33454500
16.0,BULNES,7047800
5.0,CABILDO,4610200
12.0,CABO DE HORNOS,810300
8.0,CABRERO,6296300
2.0,CALAMA,39096300
10.0,CALBUCO,7331000
3.0,CALDERA,4591100
13.0,CALERA DE TANGO,11650700
5.0,CALLE LARGA,4216600
15.0,CAMARONES,1021100
1.0,CAMINA,13800
4.0,CANELA,517400
8.0,CANETE,4837100
9.0,CARAHUE,1105500
5.0,CARTAGENA,5044300
5.0,CASABLANCA,48587200
10.0,CASTRO,11049100
5.0,CATEMU,3415800
7.0,CAUQUENES,3850000
13.0,CERRILLOS,61433600
13.0,CERRO NAVIA,9550500
10.0,CHAITEN,389300
3.0,CHANARAL,2710800
7.0,CHANCO,487800
6.0,CHEPICA,3275300
8.0,CHIGUAYANTE,15307800
11.0,CHILE CHICO,1443100
16.0,CHILLAN,57360900
16.0,CHILLAN VIEJO,8071700
6.0,CHIMBARONGO,7788500
9.0,CHOLCHOL,213900
10.0,CHONCHI,6534900
11.0,CISNES,616900
16.0,COBQUECURA,182000
10.0,COCHAMO,280300
11.0,COCHRANE,314100
6.0,CODEGUA,4770100
16.0,COELEMU,4631300
16.0,COIHUECO,3809400
6.0,COINCO,748900
7.0,COLBUN,1515300
1.0,COLCHANE,30800
13.0,COLINA,107440000
9.0,COLLIPULLI,4670400
6.0,COLTAUCO,6524800
4.0,COMBARBALA,1055200
5.0,CON CON,22946100
8.0,CONCEPCION,169928700
13.0,CONCHALI,60870500
7.0,CONSTITUCION,19455500
8.0,CONTULMO,519200
3.0,COPIAPO,48739800
4.0,COQUIMBO,54151300
8.0,CORONEL,37882400
14.0,CORRAL,743200
11.0,COYHAIQUE,12925200
9.0,CUNCO,3894600
9.0,CURACAUTIN,2186200
13.0,CURACAVI,11843700
10.0,CURACO DE VELEZ,645800
8.0,CURANILAHUE,4142100
9.0,CURARREHUE,544900
7.0,CUREPTO,836400
7.0,CURICO,72112800
10.0,DALCAHUE,4154300
3.0,DIEGO DE ALMAGRO,2963900
6.0,DONIHUE,10189500
13.0,EL BOSQUE,17295500
16.0,EL CARMEN,1095200
13.0,EL MONTE,5805400
5.0,EL QUISCO,1557800
5.0,EL TABO,6246700
7.0,EMPEDRADO,913100
9.0,ERCILLA,209800
13.0,EST CENTRAL,77956700
8.0,FLORIDA,2158700
9.0,FREIRE,5437600
3.0,FREIRINA,1058300
10.0,FRESIA,910600
10.0,FRUTILLAR,7553700
10.0,FUTALEUFU,990500
14.0,FUTRONO,2627400
9.0,GALVARINO,943300
15.0,GENERAL LAGOS,100
9.0,GORBEA,2315800
6.0,GRANEROS,11565300
11.0,GUAITECAS,138100
5.0,HIJUELAS,9795800
10.0,HUALAIHUE,845000
7.0,HUALANE,1132200
8.0,HUALPEN,17838100
8.0,HUALQUI,7166000
1.0,HUARA,1098700
3.0,HUASCO,1892500
13.0,HUECHURABA,291300000
4.0,ILLAPEL,3793200
13.0,INDEPENDENCIA,49038500
1.0,IQUIQUE,189947800
13.0,ISLA DE MAIPO,10055600
5.0,ISLA DE PASCUA,6449400
5.0,JUAN FERNANDEZ,28100
5.0,LA CALERA,13671200
13.0,LA CISTERNA,30780000
5.0,LA CRUZ,6455000
6.0,LA ESTRELLA,5558300
13.0,LA FLORIDA,90142100
13.0,LA GRANJA,11932700
4.0,LA HIGUERA,371900
5.0,LA LIGUA,5410800
13.0,LA PINTANA,25330100
13.0,LA REINA,61994700
4.0,LA SERENA,78844100
14.0,LA UNION,8939300
14.0,LAGO RANCO,1862700
11.0,LAGO VERDE,103900
12.0,LAGUNA BLANCA,7100
8.0,LAJA,3433700
13.0,LAMPA,132465000
14.0,LANCO,2872400
6.0,LAS CABRAS,25426900
13.0,LAS CONDES,2209427900
9.0,LAUTARO,14016600
8.0,LEBU,2071500
7.0,LICANTEN,577100
5.0,LIMACHE,9905300
7.0,LINARES,26698800
6.0,LITUECHE,4603900
10.0,LLANQUIHUE,6649200
5.0,LLAY-LLAY,5390100
13.0,LO BARNECHEA,223128200
13.0,LO ESPEJO,17251600
13.0,LO PRADO,5070900
6.0,LOLOL,3279900
9.0,LONCOCHE,2209100
7.0,LONGAVI,3990200
9.0,LONQUIMAY,288700
8.0,LOS ALAMOS,1207500
5.0,LOS ANDES,23298400
8.0,LOS ANGELES,81008600
14.0,LOS LAGOS,3373900
10.0,LOS MUERMOS,2151200
9.0,LOS SAUCES,1414400
4.0,LOS VILOS,3753900
8.0,LOTA,5143600
9.0,LUMACO,1144100
6.0,MACHALI,11922800
13.0,MACUL,81316100
14.0,MAFIL,1149700
13.0,MAIPU,116564000
6.0,MALLOA,2825200
6.0,MARCHIGUE,3490900
2.0,MARIA ELENA,789600
13.0,MARIA PINTO,9955300
14.0,MARIQUINA,3978900
7.0,MAULE,15283900
10.0,MAULLIN,2295200
2.0,MEJILLONES,10675700
9.0,MELIPEUCO,309700
13.0,MELIPILLA,50207700
7.0,MOLINA,11484700
4.0,MONTE PATRIA,3339200
8.0,MULCHEN,3004000
8.0,NACIMIENTO,5239300
6.0,NANCAGUA,4824000
6.0,NAVIDAD,848100
8.0,NEGRETE,2275500
16.0,NINHUE,127800
16.0,NIQUEN,413300
5.0,NOGALES,4567800
9.0,NUEVA IMPERIAL,3872500
13.0,NUNOA,134433500
11.0,OHIGGINS,21000
6.0,OLIVAR,14437500
2.0,OLLAGUE,19100
5.0,OLMUE,3379100
10.0,OSORNO,90399900
4.0,OVALLE,20761000
13.0,P AGUIRRE CERDA,26510300
13.0,PADRE HURTADO,15909900
9.0,PADRE LAS CASAS,14624000
4.0,PAIHUANO,873100
14.0,PAILLACO,4383200
13.0,PAINE,44136000
10.0,PALENA,121200
6.0,PALMILLA,8470800
14.0,PANGUIPULLI,10343000
5.0,PANQUEHUE,6275100
5.0,PAPUDO,5107100
6.0,PAREDONES,233300
7.0,PARRAL,7879800
7.0,PELARCO,1352000
7.0,PELLUHUE,2054900
16.0,PEMUCO,1530300
13.0,PENAFLOR,20582100
13.0,PENALOLEN,35230600
7.0,PENCAHUE,3621500
8.0,PENCO,10244800
6.0,PERALILLO,3616900
9.0,PERQUENCO,521400
5.0,PETORCA,583300
6.0,PEUMO,4796000
1.0,PICA,542400
6.0,PICHIDEGUA,7636500
6.0,PICHILEMU,2354200
16.0,PINTO,2188900
13.0,PIRQUE,16079800
9.0,PITRUFQUEN,2715700
6.0,PLACILLA,3901100
16.0,PORTEZUELO,308500
12.0,PORVENIR,7776400
1.0,POZO ALMONTE,4934200
12.0,PRIMAVERA,108500
13.0,PROVIDENCIA,907813900
5.0,PUCHUNCAVI,3517200
9.0,PUCON,11592600
13.0,PUDAHUEL,210363800
13.0,PUENTE ALTO,47818900
10.0,PUERTO MONTT,173140200
12.0,PUERTO NATALES,10237600
10.0,PUERTO OCTAY,5419100
10.0,PUERTO VARAS,52667400
6.0,PUMANQUE,597200
4.0,PUNITAQUI,659400
12.0,PUNTA ARENAS,66116000
10.0,PUQUELDON,281600
9.0,PUREN,1318700
10.0,PURRANQUE,6727200
5.0,PUTAENDO,1102200
15.0,PUTRE,21800
10.0,PUYEHUE,4034800
10.0,QUEILEN,354500
10.0,QUELLON,7041100
10.0,QUEMCHI,735600
8.0,QUILACO,250100
13.0,QUILICURA,304226600
8.0,QUILLECO,832300
16.0,QUILLON,2578600
5.0,QUILLOTA,27531300
5.0,QUILPUE,31919100
10.0,QUINCHAO,588700
13.0,QUINTA NORMAL,58793700
6.0,QUINTA TILCOCO,2480500
5.0,QUINTERO,9270800
16.0,QUIRIHUE,1798300
6.0,RANCAGUA,90564700
16.0,RANQUIL,2779500
7.0,RAUCO,2624200
13.0,RECOLETA,137333800
9.0,RENAICO,598800
13.0,RENCA,104510400
6.0,RENGO,22145700
6.0,REQUINOA,22094500
7.0,RETIRO,2426000
5.0,RINCONADA,2714100
14.0,RIO BUENO,5216800
7.0,RIO CLARO,3953700
4.0,RIO HURTADO,99600
11.0,RIO IBANEZ,617900
10.0,RIO NEGRO,2757500
12.0,RIO VERDE,19800
7.0,ROMERAL,19483400
9.0,SAAVEDRA,364100
7.0,SAGRADA FAMILIA,19569800
4.0,SALAMANCA,4635200
5.0,SAN ANTONIO,29795100
13.0,SAN BERNARDO,161152500
16.0,SAN CARLOS,7394600
7.0,SAN CLEMENTE,5165000
5.0,SAN ESTEBAN,3978300
16.0,SAN FABIAN,444400
6.0,SAN FCO DE MOSTAZAL,21886300
5.0,SAN FELIPE,22582800
6.0,SAN FERNANDO,29556500
12.0,SAN GREGORIO,69700
16.0,SAN IGNACIO,1142500
7.0,SAN JAVIER,11411700
13.0,SAN JOAQUIN,58135800
13.0,SAN JOSE MAIPO,4902900
10.0,SAN JUAN DE LA COSTA,239100
13.0,SAN MIGUEL,60476500
16.0,SAN NICOLAS,1539300
10.0,SAN PABLO,3674500
2.0,SAN PEDRO DE ATACAMA,1531500
8.0,SAN PEDRO DE LA PAZ,39051800
13.0,SAN PEDRO DE MELIPILLA,3702700
7.0,SAN RAFAEL,3709800
13.0,SAN RAMON,5913600
8.0,SAN ROSENDO,436200
6.0,SAN VICENTE T-T,11927200
8.0,SANTA BARBARA,1983600
6.0,SANTA CRUZ,20308000
8.0,SANTA JUANA,1570500
5.0,SANTA MARIA,4141500
13.0,SANTIAGO,683749500
5.0,SANTO DOMINGO,74513400
2.0,SIERRA GORDA,1366900
,Sin Comuna,2956900
13.0,TALAGANTE,18343000
7.0,TALCA,83631300
8.0,TALCAHUANO,54687700
2.0,TALTAL,2759400
9.0,TEMUCO,114064400
7.0,TENO,14379800
9.0,TEODORO SCHMIDT,978400
3.0,TIERRA AMARILLA,5755400
13.0,TIL-TIL,9100800
12.0,TIMAUKEL,102900
8.0,TIRUA,570700
2.0,TOCOPILLA,3203600
9.0,TOLTEN,937500
8.0,TOME,4731800
12.0,TORRES DE PAINE,81600
11.0,TORTEL,5400
9.0,TRAIGUEN,2985400
16.0,TREHUACO,1987200
8.0,TUCAPEL,4148100
14.0,VALDIVIA,46144600
3.0,VALLENAR,10248100
5.0,VALPARAISO,96889400
7.0,VICHUQUEN,3966900
9.0,VICTORIA,5365900
4.0,VICUNA,5156900
9.0,VILCUN,7088900
7.0,VILLA ALEGRE,2359200
5.0,VILLA ALEMANA,12237900
9.0,VILLARRICA,26976100
5.0,VINA DEL MAR,175756200
13.0,VITACURA,423845800
7.0,YERBAS BUENAS,2010700
8.0,YUMBEL,2179600
16.0,YUNGAY,2195600
5.0,ZAPALLAR,30898900
